title,winery,grape,vintage,isblend,height,min-diam,max-diam,weight,rating-spectator,rating-advocate,rating-cellar,objectid,price,color,basecolor,latitude,longitude,location,filename,type,format,subregion,region,country,rating-avg
Francis Ford Coppola Diamond Collection Cabernet Sauvignon,Francis Coppola,Cabernet Sauvignon,2019,FALSE,4.45,1.91,2.06,29.4,,,86.8,CoppCabSauvCork01, $18.99 ,#ecd37b,#e2b2b0,38.6795595,-122.8923422,"Paso Robles, California, United States",CoppCabSauvCork01_0.jpg; CoppCabSauvCork01_1.jpg; CoppCabSauvCork01_2.jpg; CoppCabSauvCork01_3.jpg; CoppCabSauvCork01_top.jpg; CoppCabSauvCork01_base.jpg,Image;StillImage,image/jpeg,Paso Robles,California,United States,86.8
Barone Cornacchia Montepulciano d'Abruzzo,Barone Cornacchia,Montepulciano,2019,FALSE,,,,,,,87.3,BarCornMonteCork02, $17.99 ,,,42.811167,13.760694,"Torano Nuovo, Abruzzo, Italy",BarCornMonteCork02_0.jpg; BarCornMonteCork02_1.jpg; BarCornMonteCork02_2.jpg; BarCornMonteCork02_3.jpg; BarCornMonteCork02_top.jpg; BarCornMonteCork02_base.jpg,Image;StillImage,image/jpeg,Torano Nuovo,Abruzzo,Italy,87.3
La Marca Prosecco,La Marca Vini e Spumanti,Champagne,2020,FALSE,,,,,78,85,89,LaMarcaProCork03, $19.99 ,,,45.8083443,12.4964763,"Treviso, Veneto, Italy",LaMarcaProCork03_0.jpg; LaMarcaProCork03_1.jpg; LaMarcaProCork03_2.jpg; LaMarcaProCork03_3.jpg; LaMarcaProCork03_top.jpg; LaMarcaProCork03_base.jpg,Image;StillImage,image/jpeg,Treviso,Veneto,Italy,84.0
Ruffino Prosecco,Ruffino,Glera,2021,FALSE,,,,,,,86,RuffinoProCork04, $16.99 ,,,45.672523,12.5803158,"Treviso, Veneto, Italy",RuffinoProCork04_0.jpg; RuffinoProCork04_1.jpg; RuffinoProCork04_2.jpg; RuffinoProCork04_3.jpg; RuffinoProCork04_top.jpg; RuffinoProCork04_base.jpg,Image;StillImage,image/jpeg,Treviso,Veneto,Italy,86.0
Carlin de Paolo Barbera d'Asti,Carlin de Paolo,Barbera,2019,FALSE,,,,,,,89,CarlinBarbAstiCork05, $16.99 ,,,44.8496582,8.0250424,"Asti, Piedmont, Italy",CarlinBarbAstiCork05_0.jpg; CarlinBarbAstiCork05_1.jpg; CarlinBarbAstiCork05_2.jpg; CarlinBarbAstiCork05_3.jpg; CarlinBarbAstiCork05_top.jpg; CarlinBarbAstiCork05_base.jpg,Image;StillImage,image/jpeg,Asti,Piedmont,Italy,89.0
Juggernaut Cabernet Sauvignon,Juggernaut Wine Company,Cabernet Sauvignon,2017,FALSE,,,,,,,87.8,JuggCabSauvCork06, $19.99 ,,,38.3892459,-121.5435858,"Central Valley, California, United States",JuggCabSauvCork06_0.jpg; JuggCabSauvCork06_1.jpg; JuggCabSauvCork06_2.jpg; JuggCabSauvCork06_3.jpg; JuggCabSauvCork06_top.jpg; JuggCabSauvCork06_base.jpg,Image;StillImage,image/jpeg,Central Valley,California,United States,87.8
Juggernaut Pinot Noir,Juggernaut Wine Company,Pinot Noir,2019,FALSE,,,,,,,86.6,JuggPinNoirCork07, $19.99 ,,,38.4830002,-122.8260863,"Russian River Valley, California, United States",JuggPinNoirCork07_0.jpg; JuggPinNoirCork07_1.jpg; JuggPinNoirCork07_2.jpg; JuggPinNoirCork07_3.jpg; JuggPinNoirCork07_top.jpg; JuggPinNoirCork07_base.jpg,Image;StillImage,image/jpeg,Russian River Valley,California,United States,86.6
ROCK Valpolicella Ripasso,Cantina Valpantena,Corvina; Rondinella; Corvinone,2018,TRUE,,,,,87,85,,ROCKValRipCork08, $21.99 ,,,45.5483223,10.5938832,"Verona, Veneto, Italy",ROCKValRipCork08_0.jpg; ROCKValRipCork08_1.jpg; ROCKValRipCork08_2.jpg; ROCKValRipCork08_3.jpg; ROCKValRipCork08_top.jpg; ROCKValRipCork08_base.jpg,Image;StillImage,image/jpeg,Verona,Veneto,Italy,86.0
Riparosso Montepulciano D'Abruzzo 1,Illuminati Vini,Montepulciano,2018,FALSE,,,,,88,87,85,RipaMonteCork09, $14.99 ,,,42.842101,13.7958457,"Torano Nuovo, Abruzzo, Italy",RipaMonteCork09_0.jpg; RipaMonteCork09_1.jpg; RipaMonteCork09_2.jpg; RipaMonteCork09_3.jpg; RipaMonteCork09_top.jpg; RipaMonteCork09_base.jpg,Image;StillImage,image/jpeg,Torano Nuovo,Abruzzo,Italy,86.7
Riparosso Montepulciano D'Abruzzo 2,Illuminati Vini,Montepulciano,2018,FALSE,,,,,88,87,85,RipaMonteCork10, $14.99 ,,,42.842101,13.7958457,"Torano Nuovo, Abruzzo, Italy",RipaMonteCork10_0.jpg; RipaMonteCork10_1.jpg; RipaMonteCork10_2.jpg; RipaMonteCork10_3.jpg; RipaMonteCork10_top.jpg; RipaMonteCork10_base.jpg,Image;StillImage,image/jpeg,Torano Nuovo,Abruzzo,Italy,86.7
Riparosso Montepulciano D'Abruzzo 3,Illuminati Vini,Montepulciano,2018,FALSE,,,,,88,87,85,RipaMonteCork11, $14.99 ,,,42.842101,13.7958457,"Torano Nuovo, Abruzzo, Italy",RipaMonteCork11_0.jpg; RipaMonteCork11_1.jpg; RipaMonteCork11_2.jpg; RipaMonteCork11_3.jpg; RipaMonteCork11_top.jpg; RipaMonteCork11_base.jpg,Image;StillImage,image/jpeg,Torano Nuovo,Abruzzo,Italy,86.7
Decoy Cabernet Sauvignon 1,Duckhorn,Cabernet Sauvignon,2019,FALSE,,,,,88,,87,DecoyCabSauvCork12, $19.99 ,,,38.5284311,-122.4915541,"Mendocino County, California, United States",DecoyCabSauvCork12_0.jpg; DecoyCabSauvCork12_1.jpg; DecoyCabSauvCork12_2.jpg; DecoyCabSauvCork12_3.jpg; DecoyCabSauvCork12_top.jpg; DecoyCabSauvCork12_base.jpg,Image;StillImage,image/jpeg,Mendocino County,California,United States,87.5
Decoy Cabernet Sauvignon 2,Duckhorn,Cabernet Sauvignon,2019,FALSE,,,,,88,,87,DecoyCabSauvCork13, $19.99 ,,,38.5284311,-122.4915541,"Mendocino County, California, United States",DecoyCabSauvCork13_0.jpg; DecoyCabSauvCork13_1.jpg; DecoyCabSauvCork13_2.jpg; DecoyCabSauvCork13_3.jpg; DecoyCabSauvCork13_top.jpg; DecoyCabSauvCork13_base.jpg,Image;StillImage,image/jpeg,Mendocino County,California,United States,87.5
Decoy Pinot Noir,Duckhorn,Pinot Noir,2020,FALSE,,,,,87,88,87.1,DecoyPinNoirCork14, $19.99 ,,,38.5284311,-122.4915541,"Mendocino County, California, United States",DecoyPinNoirCork14_0.jpg; DecoyPinNoirCork14_1.jpg; DecoyPinNoirCork14_2.jpg; DecoyPinNoirCork14_3.jpg; DecoyPinNoirCork14_top.jpg; DecoyPinNoirCork14_base.jpg,Image;StillImage,image/jpeg,Mendocino County,California,United States,87.4
Bread and Butter Cabernet Sauvignon 1,Bread and Butter Wines,Cabernet Sauvignon,2020,FALSE,,,,,91,,84.2,BnbCabSauvCork15, $16.99 ,,,38.3485325,-122.2853538,"Napa Valley, California, United States",BnbCabSauvCork15_0.jpg; BnbCabSauvCork15_1.jpg; BnbCabSauvCork15_2.jpg; BnbCabSauvCork15_3.jpg; BnbCabSauvCork15_top.jpg; BnbCabSauvCork15_base.jpg,Image;StillImage,image/jpeg,Napa Valley,California,United States,87.6
Bread and Butter Cabernet Sauvignon 2,Bread and Butter Wines,Cabernet Sauvignon,2020,FALSE,,,,,91,,84.2,BnbCabSauvCork16, $16.99 ,,,38.3485325,-122.2853538,"Napa Valley, California, United States",BnbCabSauvCork16_0.jpg; BnbCabSauvCork16_1.jpg; BnbCabSauvCork16_2.jpg; BnbCabSauvCork16_3.jpg; BnbCabSauvCork16_top.jpg; BnbCabSauvCork16_base.jpg,Image;StillImage,image/jpeg,Napa Valley,California,United States,87.6
